Jilid,Page,PageRole,Slot,ObjectID,CanonicalKey,ObjectType,ArabicObject,PrimaryCompetency,ReviewCompetencies,SourceRef,Status,Notes
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,1,J1-P02-S01,9267f3bd94d46ecad45d,LETTER,رَ,C0002,C0001,1:2,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,2,J1-P02-S02,5c0e7ee6ea4f63ee0365,LETTER,رِ,C0003,C0001,1:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,3,J1-P02-S03,24cf9ce16be2f50c9b73,LETTER,رُ,C0004,C0001,2:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,4,J1-P02-S04,9d264546b1a198b92a54,LETTER,زَ,C0002,C0001,2:3,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,5,J1-P02-S05,e2328899f3e52fa28b5e,LETTER,زِ,C0003,C0001,2:4,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,6,J1-P02-S06,a45b557cc0bea105aa21,LETTER,زُ,C0004,C0001,2:67,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,7,J1-P02-S07,2e2f6c2d428f8970ee45,LETTER,سَ,C0002,C0001,2:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,8,J1-P02-S08,c52f5ac1d862cadab540,LETTER,سِ,C0003,C0001,2:8,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,9,J1-P02-S09,8eef91859a6de8d69105,LETTER,سُ,C0004,C0001,2:13,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,10,J1-P02-S10,68ccdcc43eb5e6b87f0b,LETTER,شَ,C0002,C0001,2:14,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,11,J1-P02-S11,a88472a86ef1f82b1a10,LETTER,شِ,C0003,C0001,2:35,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,12,J1-P02-S12,35c116668fcc2e6699da,LETTER,شُ,C0004,C0001,2:23,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,13,J1-P02-S13,6b8136ffd4a1faf79967,LETTER,صَ,C0002,C0001,2:19,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,14,J1-P02-S14,d2578fedcb9fe785a36d,LETTER,صِ,C0003,C0001,1:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,15,J1-P02-S15,6d45e193eb219bb57fb2,LETTER,صُ,C0004,C0001,2:18,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,16,J1-P02-S16,c4ac952044079cce821f,LETTER,ضَ,C0002,C0001,2:17,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,17,J1-P02-S17,14b48d3de3d646a18812,LETTER,ضِ,C0003,C0001,2:11,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,18,J1-P02-S18,1545c6edcc16647b003d,LETTER,ضُ,C0004,C0001,1:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,19,J1-P02-S19,88fa2a63303a95bdd451,LETTER,طَ,C0002,C0001,1:6,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,20,J1-P02-S20,009c7cb94587178c7c6d,LETTER,طِ,C0003,C0001,2:14,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,21,J1-P02-S21,8b6dd148bf148d779fe1,LETTER,طُ,C0004,C0001,2:15,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,22,J1-P02-S22,c8eb35196d4df5ac756a,LETTER,ظَ,C0002,C0001,2:54,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,23,J1-P02-S23,85c09f671e0eb4884a6a,LETTER,ظِ,C0003,C0001,2:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,2,LETTER_FATHAH_KASRAH_DHAMMAH_FAMILY_2,24,J1-P02-S24,f22c047bbd319d239bba,LETTER,ظُ,C0004,C0001,2:17,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,1,J1-P03-S01,b71bd0a31a1feb3e7508,LETTER,عَ,C0002,C0001,1:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,2,J1-P03-S02,fb3c056180d657f4b23d,LETTER,عِ,C0003,C0001,1:5,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,3,J1-P03-S03,25404e3824c89bfb927f,LETTER,عُ,C0004,C0001,2:9,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,4,J1-P03-S04,57c7e692a062c17e0832,LETTER,غَ,C0002,C0001,1:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
1,3,LETTER_FATHAH_KASRAH_DHAMMAH_NON_CONNECTORS,5,J1-P03-S05,e512fa96a77cd3b366eb,LETTER,غِ,C0003,C0001,2:7,COMPOSED_CANDIDATE_V2,Huruf tunggal berharakat pendek dari corpus Al-Quran
